support,itemsets
0.006612007405448294,frozenset({'Hilltop 200 MG Ibuprofen'})
0.006083046813012431,frozenset({'Super Grape Jam'})
0.006083046813012431,frozenset({'Booker Low Fat Cottage Cheese'})
0.006083046813012431,frozenset({'American Sliced Ham'})
0.0058185665167944985,frozenset({'Moms Roasted Chicken'})
0.0058185665167944985,frozenset({'Landslide Vegetable Oil'})
0.005554086220576567,frozenset({'Hermanos Limes'})
0.005554086220576567,frozenset({'Tri-State Corn on the Cob'})
0.005554086220576567,frozenset({'Sunset 75 Watt Lightbulb'})
0.005554086220576567,frozenset({'Top Measure White Zinfandel Wine'})
0.005554086220576567,frozenset({'Sunset Paper Cups'})
0.005554086220576567,frozenset({'Urban Large Eggs'})
0.005289605924358635,frozenset({'Landslide Strawberry Jam'})
0.005289605924358635,frozenset({'Fast Salted Pretzels'})
0.005289605924358635,frozenset({'Good Imported Beer'})
0.005289605924358635,frozenset({'Carlson Jack Cheese'})
0.005289605924358635,frozenset({'Hilltop Childrens Cold Remedy'})
0.005289605924358635,frozenset({'Red Wing C-Size Batteries'})
0.005289605924358635,frozenset({'Carrington Beef TV Dinner'})
0.005289605924358635,frozenset({'Token Strawberry Drink'})
0.005025125628140704,frozenset({'Fort West Beef Jerky'})
0.005025125628140704,frozenset({'Carlson Low Fat Sour Cream'})
0.005025125628140704,frozenset({'Best Choice Potato Chips'})
0.005025125628140704,frozenset({'Best Choice Raspberry Fruit Roll'})
0.005025125628140704,frozenset({'Moms Corned Beef'})
0.005025125628140704,frozenset({'Booker Low Fat Sour Cream'})
0.005025125628140704,frozenset({'Blue Label Regular Ramen Soup'})
0.005025125628140704,frozenset({'Better Beef Soup'})
0.005025125628140704,frozenset({'Red Wing 100 Watt Lightbulb'})
0.005025125628140704,frozenset({'Red Wing Copper Pot Scrubber'})
0.005025125628140704,frozenset({'Better Chicken Ramen Soup'})
0.005025125628140704,frozenset({'Blue Label Beef Soup'})
0.005025125628140704,frozenset({'Fast Low Fat Cookies'})
0.005025125628140704,frozenset({'Red Wing Paper Towels'})
0.005025125628140704,frozenset({'Red Wing Silver Cleaner'})
0.005025125628140704,frozenset({'Fantastic Rye Bread'})
0.005025125628140704,frozenset({'Ebony Fresh Lima Beans'})
0.005025125628140704,frozenset({'Jardon Manicotti'})
0.005025125628140704,frozenset({'BBB Best Vegetable Oil'})
0.005025125628140704,frozenset({'Ebony Honey Dew'})
0.005025125628140704,frozenset({'Hermanos Sweet Peas'})
0.005025125628140704,frozenset({'BBB Best Decaf Coffee'})
0.005025125628140704,frozenset({'BBB Best Pepper'})
0.005025125628140704,frozenset({'High Top Green Pepper'})
0.005025125628140704,frozenset({'Fort West Fudge Cookies'})
0.005025125628140704,frozenset({'Hermanos Prepared Salad'})
0.005025125628140704,frozenset({'Imagine Frozen Broccoli'})
0.005025125628140704,frozenset({'Good White Zinfandel Wine'})
0.005025125628140704,frozenset({'Choice White Chocolate Bar'})
0.004760645331922771,frozenset({'Great Blueberry Muffins'})
0.004760645331922771,frozenset({'Sphinx Wheat Bread'})
0.004760645331922771,frozenset({'Hermanos Almonds'})
0.004760645331922771,frozenset({'Black Tie Eyeglass Screwdriver'})
0.004760645331922771,frozenset({'Great Cranberry Muffins'})
0.004760645331922771,frozenset({'Steady 200 MG Ibuprofen'})
0.004760645331922771,frozenset({'Discover Ravioli'})
0.004760645331922771,frozenset({'Gulf Coast Mints'})
0.004760645331922771,frozenset({'Carrington Pancake Mix'})
0.004760645331922771,frozenset({'Cutting Edge Chicken Hot Dogs'})
0.004760645331922771,frozenset({'Blue Label Canned Tuna in Water'})
0.004760645331922771,frozenset({'Red Spade Low Fat Cole Slaw'})
0.004760645331922771,frozenset({'Lake Low Fat Bologna'})
0.004760645331922771,frozenset({'Booker 1% Milk'})
0.004760645331922771,frozenset({'Booker Muenster Cheese'})
0.004760645331922771,frozenset({'Even Better Havarti Cheese'})
0.004760645331922771,frozenset({'Hilltop Silky Smooth Hair Conditioner'})
0.004760645331922771,frozenset({'Horatio Fudge Cookies'})
0.004760645331922771,frozenset({'Mighty Good Monthly Sports Magazine'})
0.004760645331922771,frozenset({'Sunset Scented Tissue'})
0.004760645331922771,frozenset({'Jumbo Small Eggs'})
0.004760645331922771,frozenset({'Framton City Map'})
0.004760645331922771,frozenset({'Excellent Mango Drink'})
0.004760645331922771,frozenset({'Amigo Lox'})
0.004760645331922771,frozenset({'Best Grits'})
0.004760645331922771,frozenset({'Tell Tale Cauliflower'})
0.004760645331922771,frozenset({'Tell Tale Lettuce'})
0.004760645331922771,frozenset({'Best Choice Chocolate Chip Cookies'})
0.004760645331922771,frozenset({'Top Measure Chablis Wine'})
0.004760645331922771,frozenset({'Super Strawberry Preserves'})
0.00449616503570484,frozenset({'Pleasant Chicken Soup'})
0.00449616503570484,frozenset({'CDR Pepper'})
0.00449616503570484,frozenset({'Moms Turkey Hot Dogs'})
0.00449616503570484,frozenset({'Cormorant Plastic Spoons'})
0.00449616503570484,frozenset({'High Top New Potatos'})
0.00449616503570484,frozenset({'BBB Best Strawberry Jelly'})
0.00449616503570484,frozenset({'PigTail Frozen Chicken Thighs'})
0.00449616503570484,frozenset({'Plato Brown Sugar'})
0.00449616503570484,frozenset({'PigTail Frozen Corn'})
0.00449616503570484,frozenset({'Tell Tale New Potatos'})
0.00449616503570484,frozenset({'Bravo Canned Peas'})
0.00449616503570484,frozenset({'Best Choice Fondue Mix'})
0.00449616503570484,frozenset({'American Chicken Hot Dogs'})
0.00449616503570484,frozenset({'Hermanos Fuji Apples'})
0.00449616503570484,frozenset({'Hermanos Dried Mushrooms'})
0.00449616503570484,frozenset({'Moms Sliced Chicken'})
0.00449616503570484,frozenset({'Hilltop Extra Moisture Shampoo'})
0.00449616503570484,frozenset({'Moms Potato Salad'})
0.00449616503570484,frozenset({'Landslide Tomato Sauce'})
0.00449616503570484,frozenset({'Carrington Home Style French Fries'})
0.00449616503570484,frozenset({'Just Right Regular Ramen Soup'})
0.00449616503570484,frozenset({'Carrington Frozen Pepperoni Pizza'})
0.00449616503570484,frozenset({'Thresher Semi-Sweet Chocolate Bar'})
0.00449616503570484,frozenset({'Johnson Oatmeal'})
0.00449616503570484,frozenset({'Carrington Frozen Chicken Breast'})
0.00449616503570484,frozenset({'Club Low Fat String Cheese'})
0.00449616503570484,frozenset({'Landslide French Roast Coffee'})
0.00449616503570484,frozenset({'Best Choice Grape Fruit Roll'})
0.00449616503570484,frozenset({'Radius Oatmeal'})
0.00449616503570484,frozenset({'Horatio Chocolate Chip Cookies'})
0.00449616503570484,frozenset({'Best Choice Low Fat Popcorn'})
0.00449616503570484,frozenset({'Consolidated Childrens Cold Remedy'})
0.00449616503570484,frozenset({'Hilltop Mint Mouthwash'})
0.00449616503570484,frozenset({'Consolidated Mint Mouthwash'})
0.00449616503570484,frozenset({'Tell Tale Onions'})
0.00449616503570484,frozenset({'Moms Low Fat Bologna'})
0.00449616503570484,frozenset({'Carlson 1% Milk'})
0.00449616503570484,frozenset({'Top Measure Light Beer'})
0.00449616503570484,frozenset({'Carrington Lime Popsicles'})
0.00449616503570484,frozenset({'Red Wing Large Sponge'})
0.00449616503570484,frozenset({'Tri-State Cantelope'})
0.00449616503570484,frozenset({'Steady Buffered Aspirin'})
0.00449616503570484,frozenset({'Golden Apple Cinnamon Waffles'})
0.00449616503570484,frozenset({'Tell Tale Fresh Lima Beans'})
0.00449616503570484,frozenset({'Robust Monthly Fashion Magazine'})
0.00449616503570484,frozenset({'Super Chunky Peanut Butter'})
0.00449616503570484,frozenset({'Good Light Wine'})
0.00449616503570484,frozenset({'Better Noodle Soup'})
0.00449616503570484,frozenset({'Super Creamy Peanut Butter'})
0.00449616503570484,frozenset({'American Low Fat Cole Slaw'})
0.00449616503570484,frozenset({'Ebony Asparagus'})
0.00449616503570484,frozenset({'Super Sesame Oil'})
0.00449616503570484,frozenset({'Fort West Dried Dates'})
0.00449616503570484,frozenset({'Sunset Economy Toilet Brush'})
0.00449616503570484,frozenset({'BBB Best Columbian Coffee'})
0.00449616503570484,frozenset({'Sunset Silver Cleaner'})
0.00449616503570484,frozenset({'Blue Label Canned Yams'})
0.00449616503570484,frozenset({'Excellent Apple Juice'})
0.00449616503570484,frozenset({'Red Spade Turkey Hot Dogs'})
0.00449616503570484,frozenset({'Discover Thai Rice'})
0.00449616503570484,frozenset({'Fabulous Orange Juice'})
0.004231684739486909,frozenset({'Washington Apple Drink'})
0.004231684739486909,frozenset({'Ebony Peaches'})
0.004231684739486909,frozenset({'Walrus Light Beer'})
0.004231684739486909,frozenset({'Just Right Chicken Noodle Soup'})
0.004231684739486909,frozenset({'Even Better Mild Cheddar Cheese'})
0.004231684739486909,frozenset({'Horatio Chocolate Donuts'})
0.004231684739486909,frozenset({'Horatio Frosted Cookies'})
0.004231684739486909,frozenset({'Best Choice Cheese Dip'})
0.004231684739486909,frozenset({'Best Choice Corn Chips'})
0.004231684739486909,frozenset({'Horatio Potato Chips'})
0.004231684739486909,frozenset({'Fantastic Muffins'})
0.004231684739486909,frozenset({'Fast Grape Fruit Roll'})
0.004231684739486909,frozenset({'Thresher White Chocolate Bar'})
0.004231684739486909,frozenset({'Imagine Orange Popsicles'})
0.004231684739486909,frozenset({'Fantastic White Bread'})
0.004231684739486909,frozenset({'Johnson Grits'})
0.004231684739486909,frozenset({'Great Rye Bread'})
0.004231684739486909,frozenset({'Golden Home Style French Fries'})
0.004231684739486909,frozenset({'Fort West Fudge Brownies'})
0.004231684739486909,frozenset({'Consolidated Dishwasher Detergent'})
0.004231684739486909,frozenset({'Discover Manicotti'})
0.004231684739486909,frozenset({'Discover Spaghetti'})
0.004231684739486909,frozenset({'Hermanos Peaches'})
0.004231684739486909,frozenset({'Great Pumpernickel Bread'})
0.004231684739486909,frozenset({'BBB Best Grape Preserves'})
0.004231684739486909,frozenset({'Hermanos Red Pepper'})
0.004231684739486909,frozenset({'Hermanos Sweet Onion'})
0.004231684739486909,frozenset({'BBB Best Low Fat Apple Butter'})
0.004231684739486909,frozenset({'BBB Best Apple Preserves'})
0.004231684739486909,frozenset({'Hermanos Tomatos'})
0.004231684739486909,frozenset({'High Quality Counter Cleaner'})
0.004231684739486909,frozenset({'High Top Fancy Plums'})
0.004231684739486909,frozenset({'Cormorant Scented Tissue'})
0.004231684739486909,frozenset({'Token Cranberry Juice'})
0.004231684739486909,frozenset({'Good Merlot Wine'})
0.004231684739486909,frozenset({'Golden Orange Popsicles'})
0.004231684739486909,frozenset({'Golden Frozen Chicken Wings'})
0.004231684739486909,frozenset({'BBB Best Apple Jam'})
0.004231684739486909,frozenset({'Walrus Chablis Wine'})
0.004231684739486909,frozenset({'Sunset Plastic Knives'})
0.004231684739486909,frozenset({'Nationeel Chocolate Chip Cookies'})
0.004231684739486909,frozenset({'Just Right Chicken Ramen Soup'})
0.004231684739486909,frozenset({'Modell Wheat Bread'})
0.004231684739486909,frozenset({'Sphinx Muffins'})
0.004231684739486909,frozenset({'Red Wing 60 Watt Lightbulb'})
0.004231684739486909,frozenset({'Nationeel Low Fat Cookies'})
0.004231684739486909,frozenset({'Nationeel No Salt Popcorn'})
0.004231684739486909,frozenset({'Big Time Pancake Mix'})
0.004231684739486909,frozenset({'Skinner Orange Juice'})
0.004231684739486909,frozenset({'Big Time Waffles'})
0.004231684739486909,frozenset({'Shady Lake Thai Rice'})
0.004231684739486909,frozenset({'PigTail Frozen Pepperoni Pizza'})
0.004231684739486909,frozenset({'Bravo Canned String Beans'})
0.004231684739486909,frozenset({'Pleasant Chicken Ramen Soup'})
0.004231684739486909,frozenset({'Pleasant Fancy Canned Anchovies'})
0.004231684739486909,frozenset({'Big Time Chicken TV Dinner'})
0.004231684739486909,frozenset({'Red Wing Plastic Knives'})
0.004231684739486909,frozenset({'Tell Tale Honey Dew'})
0.004231684739486909,frozenset({'Pleasant Large Canned Shrimp'})
0.004231684739486909,frozenset({'Super Salt'})
0.004231684739486909,frozenset({'Portsmouth White Zinfandel Wine'})
0.004231684739486909,frozenset({'Red Wing Bees Wax Candles'})
0.004231684739486909,frozenset({'Blue Label Turkey Noodle Soup'})
0.004231684739486909,frozenset({'Tell Tale Dried Mushrooms'})
0.004231684739486909,frozenset({'Sunset Soft Napkins'})
0.004231684739486909,frozenset({'Blue Label Fancy Canned Anchovies'})
0.004231684739486909,frozenset({'Lake Beef Bologna'})
0.004231684739486909,frozenset({'Carrington Fajita French Fries'})
0.004231684739486909,frozenset({'Thresher Bubble Gum'})
0.004231684739486909,frozenset({'Modell English Muffins'})
0.004231684739486909,frozenset({'Sunset 25 Watt Lightbulb'})
0.004231684739486909,frozenset({'Landslide Apple Jelly'})
0.004231684739486909,frozenset({'Landslide Low Fat Apple Butter'})
0.004231684739486909,frozenset({'Carrington Frozen Chicken Thighs'})
0.004231684739486909,frozenset({'Big Time Frozen Mushroom Pizza'})
0.004231684739486909,frozenset({'Big Time Frozen Chicken Wings'})
0.004231684739486909,frozenset({'Sunset Bees Wax Candles'})
0.004231684739486909,frozenset({'Landslide Grape Preserves'})
0.004231684739486909,frozenset({'Tell Tale Walnuts'})
0.004231684739486909,frozenset({'Sunset 100 Watt Lightbulb'})
0.004231684739486909,frozenset({'Best Choice Raisins'})
0.004231684739486909,frozenset({'Steady Whitening Toothpast'})
0.003967204443268976,frozenset({'Fantastic Bagels'})
0.003967204443268976,frozenset({'Tri-State Oranges'})
0.003967204443268976,frozenset({'Tell Tale Almonds'})
0.003967204443268976,frozenset({'Fabulous Strawberry Drink'})
0.003967204443268976,frozenset({'Sunset Counter Cleaner'})
0.003967204443268976,frozenset({'Fast BBQ Potato Chips'})
0.003967204443268976,frozenset({'Steady Mint Mouthwash'})
0.003967204443268976,frozenset({'Skinner Apple Drink'})
0.003967204443268976,frozenset({'Red Wing Screw Driver'})
0.003967204443268976,frozenset({'Tri-State Red Pepper'})
0.003967204443268976,frozenset({'Skinner Berry Juice'})
0.003967204443268976,frozenset({'Fast Corn Chips'})
0.003967204443268976,frozenset({'Genteel Seasoned Hamburger'})
0.003967204443268976,frozenset({'Tri-State Shitake Mushrooms'})
0.003967204443268976,frozenset({'Urban Large Brown Eggs'})
0.003967204443268976,frozenset({'Fort West Sugar Cookies'})
0.003967204443268976,frozenset({'Fast Fondue Mix'})
0.003967204443268976,frozenset({'Skinner Strawberry Drink'})
0.003967204443268976,frozenset({'Fort West Corn Chips'})
0.003967204443268976,frozenset({'Walrus Imported Beer'})
0.003967204443268976,frozenset({'Faux Products Multi-Symptom Cold Remedy'})
0.003967204443268976,frozenset({'Super Apple Butter'})
0.003967204443268976,frozenset({'Special Corn Puffs'})
0.003967204443268976,frozenset({'Hermanos Party Nuts'})
0.003967204443268976,frozenset({'Red Spade Sliced Turkey'})
0.003967204443268976,frozenset({'Horatio Graham Crackers'})
0.003967204443268976,frozenset({'Nationeel Beef Jerky'})
0.003967204443268976,frozenset({'Moms Low Fat Cole Slaw'})
0.003967204443268976,frozenset({'Hilltop HCL Nasal Spray'})
0.003967204443268976,frozenset({'Moms Beef Bologna'})
0.003967204443268976,frozenset({'Modell Blueberry Muffins'})
0.003967204443268976,frozenset({'Tell Tale Sweet Onion'})
0.003967204443268976,frozenset({'Landslide Pepper'})
0.003967204443268976,frozenset({'Imagine Turkey TV Dinner'})
0.003967204443268976,frozenset({'Token Diet Cola'})
0.003967204443268976,frozenset({'Landslide Decaf Coffee'})
0.003967204443268976,frozenset({'Thresher Malted Milk Balls'})
0.003967204443268976,frozenset({'Jumbo Egg Substitute'})
0.003967204443268976,frozenset({'Jumbo Large Eggs'})
0.003967204443268976,frozenset({'Thresher Mints'})
0.003967204443268976,frozenset({'Just Right Canned Tuna in Oil'})
0.003967204443268976,frozenset({'Just Right Canned Yams'})
0.003967204443268976,frozenset({'Hilltop Buffered Aspirin'})
0.003967204443268976,frozenset({'High Top Potatos'})
0.003967204443268976,frozenset({'Tell Tale Golden Delcious Apples'})
0.003967204443268976,frozenset({'Pearl Chablis Wine'})
0.003967204443268976,frozenset({'Top Measure Light Wine'})
0.003967204443268976,frozenset({'Portsmouth Imported Beer'})
0.003967204443268976,frozenset({'Hermanos Mandarin Oranges'})
0.003967204443268976,frozenset({'Plato Low Fat Apple Butter'})
0.003967204443268976,frozenset({'PigTail Frozen Cauliflower'})
0.003967204443268976,frozenset({'High Quality 25 Watt Lightbulb'})
0.003967204443268976,frozenset({'High Quality Copper Cleaner'})
0.003967204443268976,frozenset({'High Quality Frying Pan'})
0.003967204443268976,frozenset({'Fabulous Diet Soda'})
0.003967204443268976,frozenset({'High Quality Glass Cleaner'})
0.003967204443268976,frozenset({'Nationeel Sesame Crackers'})
0.003967204443268976,frozenset({'High Quality Toilet Paper'})
0.003967204443268976,frozenset({'High Top Asparagus'})
0.003967204443268976,frozenset({'High Top Baby Onion'})
0.003967204443268976,frozenset({'Nationeel Salted Pretzels'})
0.003967204443268976,frozenset({'Nationeel Salsa Dip'})
0.003967204443268976,frozenset({'Just Right Fancy Canned Sardines'})
0.003967204443268976,frozenset({'Washington Orange Juice'})
0.003967204443268976,frozenset({'Carrington Lemon Popsicles'})
0.003967204443268976,frozenset({'Ebony Fuji Apples'})
0.003967204443268976,frozenset({'Blue Medal Large Eggs'})
0.003967204443268976,frozenset({'Carlson Blueberry Yogurt'})
0.003967204443268976,frozenset({'Better Canned Peas'})
0.003967204443268976,frozenset({'Club Large Curd Cottage Cheese'})
0.003967204443268976,frozenset({'Even Better Head Cheese'})
0.003967204443268976,frozenset({'Denny Room Freshener'})
0.003967204443268976,frozenset({'Denny Scented Toilet Tissue'})
0.003967204443268976,frozenset({'Dual City Lox'})
0.003967204443268976,frozenset({'Bird Call Buffered Aspirin'})
0.003967204443268976,frozenset({'Carlson Mild Cheddar Cheese'})
0.003967204443268976,frozenset({'Carrington Frozen Peas'})
0.003967204443268976,frozenset({'Carrington Apple Cinnamon Waffles'})
0.003967204443268976,frozenset({'Big Time Frozen Pepperoni Pizza'})
0.003967204443268976,frozenset({'Ebony Plums'})
0.003967204443268976,frozenset({'Big Time Ice Cream'})
0.003967204443268976,frozenset({'Best Choice Salted Pretzels'})
0.003967204443268976,frozenset({'Best Choice Strawberry Fruit Roll'})
0.003967204443268976,frozenset({'Denny Soft Napkins'})
0.003967204443268976,frozenset({'BBB Best Creamy Peanut Butter'})
0.003967204443268976,frozenset({'Cormorant 25 Watt Lightbulb'})
0.003967204443268976,frozenset({'CDR Canola Oil'})
0.003967204443268976,frozenset({'BBB Best Canola Oil'})
0.003967204443268976,frozenset({'Cormorant Tissues'})
0.003967204443268976,frozenset({'Consolidated Angled Toothbrush'})
0.003967204443268976,frozenset({'BBB Best Corn Oil'})
0.003967204443268976,frozenset({'Ebony Dried Mushrooms'})
0.003967204443268976,frozenset({'Ebony Broccoli'})
0.003967204443268976,frozenset({'Ebony Firm Tofu'})
0.003967204443268976,frozenset({'Amigo Scallops'})
0.003967204443268976,frozenset({'American Pimento Loaf'})
0.0037027241470510446,frozenset({'CDR Apple Butter'})
0.0037027241470510446,frozenset({'Bravo Creamed Corn'})
0.0037027241470510446,frozenset({'Carrington Frozen Cauliflower'})
0.0037027241470510446,frozenset({'Landslide Strawberry Preserves'})
0.0037027241470510446,frozenset({'Pearl Chardonnay'})
0.0037027241470510446,frozenset({'Nationeel Frosted Donuts'})
0.0037027241470510446,frozenset({'Carlson Chocolate Milk'})
0.0037027241470510446,frozenset({'Monarch Ravioli'})
0.0037027241470510446,frozenset({'Fabulous Cranberry Juice'})
0.0037027241470510446,frozenset({'Moms Foot-Long Hot Dogs'})
0.0037027241470510446,frozenset({'CDR Low Fat Apple Butter'})
0.0037027241470510446,frozenset({'Lake Turkey Hot Dogs'})
0.0037027241470510446,frozenset({'CDR Decaf Coffee'})
0.0037027241470510446,frozenset({'Monarch Manicotti'})
0.0037027241470510446,frozenset({'Carlson Cheese Spread'})
0.0037027241470510446,frozenset({'Fabulous Cola'})
0.0037027241470510446,frozenset({'Lake Potato Salad'})
0.0037027241470510446,frozenset({'Carrington Frozen Corn'})
0.0037027241470510446,frozenset({'High Quality Silver Cleaner'})
0.0037027241470510446,frozenset({'High Quality Toilet Bowl Cleaner'})
0.0037027241470510446,frozenset({'High Top Dried Mushrooms'})
0.0037027241470510446,frozenset({'Hilltop 200 MG Acetominifen'})
0.0037027241470510446,frozenset({'Consolidated Childrens Aspirin'})
0.0037027241470510446,frozenset({'Colossal Manicotti'})
0.0037027241470510446,frozenset({'Horatio Frosted Donuts'})
0.0037027241470510446,frozenset({'Imagine Frozen Cauliflower'})
0.0037027241470510446,frozenset({'Imagine Frozen Mushroom Pizza'})
0.0037027241470510446,frozenset({'Imagine Frozen Peas'})
0.0037027241470510446,frozenset({'Imagine Ice Cream'})
0.0037027241470510446,frozenset({'Imagine Lime Popsicles'})
0.0037027241470510446,frozenset({'Club Mild Cheddar Cheese'})
0.0037027241470510446,frozenset({'Imagine Waffles'})
0.0037027241470510446,frozenset({'James Bay City Map'})
0.0037027241470510446,frozenset({'Club Low Fat Sour Cream'})
0.0037027241470510446,frozenset({'Choice Mint Chocolate Bar'})
0.0037027241470510446,frozenset({'Just Right Canned Tuna in Water'})
0.0037027241470510446,frozenset({'Carrington Turkey TV Dinner'})
0.0037027241470510446,frozenset({'Carrington Orange Popsicles'})
0.0037027241470510446,frozenset({'Plato Chunky Peanut Butter'})
0.0037027241470510446,frozenset({'Carrington Frozen Sausage Pizza'})
0.0037027241470510446,frozenset({'Kiwi Lox'})
0.0037027241470510446,frozenset({'PigTail Home Style French Fries'})
0.0037027241470510446,frozenset({'Booker Mild Cheddar Cheese'})
0.0037027241470510446,frozenset({'Plato Extra Chunky Peanut Butter'})
0.0037027241470510446,frozenset({'Plato Grape Preserves'})
0.0037027241470510446,frozenset({'Big Time Beef TV Dinner'})
0.0037027241470510446,frozenset({'Big City Canned Mixed Fruit'})
0.0037027241470510446,frozenset({'Super Apple Jam'})
0.0037027241470510446,frozenset({'Better Fancy Canned Oysters'})
0.0037027241470510446,frozenset({'Better Canned Tomatos'})
0.0037027241470510446,frozenset({'Better Canned String Beans'})
0.0037027241470510446,frozenset({'Tell Tale Elephant Garlic'})
0.0037027241470510446,frozenset({'Tell Tale Garlic'})
0.0037027241470510446,frozenset({'Best Oatmeal'})
0.0037027241470510446,frozenset({'Best Corn Puffs'})
0.0037027241470510446,frozenset({'Tell Tale Prepared Salad'})
0.0037027241470510446,frozenset({'Tell Tale Shitake Mushrooms'})
0.0037027241470510446,frozenset({'Tell Tale Squash'})
0.0037027241470510446,frozenset({'Best Choice Low Fat Cookies'})
0.0037027241470510446,frozenset({'Token Cream Soda'})
0.0037027241470510446,frozenset({'Token Mango Drink'})
0.0037027241470510446,frozenset({'BBB Best French Roast Coffee'})
0.0037027241470510446,frozenset({'Tri-State Canned Peanuts'})
0.0037027241470510446,frozenset({'Tri-State Garlic'})
0.0037027241470510446,frozenset({'Tri-State Lettuce'})
0.0037027241470510446,frozenset({'Tri-State Mandarin Oranges'})
0.0037027241470510446,frozenset({'Tri-State New Potatos'})
0.0037027241470510446,frozenset({'Tri-State Onions'})
0.0037027241470510446,frozenset({'Atomic Malted Milk Balls'})
0.0037027241470510446,frozenset({'Atomic Bubble Gum'})
0.0037027241470510446,frozenset({'Big Time Blueberry Waffles'})
0.0037027241470510446,frozenset({'Sunset Screw Driver'})
0.0037027241470510446,frozenset({'Big Time Frozen Broccoli'})
0.0037027241470510446,frozenset({'Red Wing Economy Toilet Brush'})
0.0037027241470510446,frozenset({'Plato Oregano'})
0.0037027241470510446,frozenset({'Pleasant Canned String Beans'})
